price,title,link
"168,16",Olympikus Urbex Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-masculino-olympikus-urbex-cor-pretodourado-adulto-40-br/p/MLB21625987?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB21625987&position=7&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"151,14",Olympikus Venus Feminino Adultos,https://www.mercadolivre.com.br/tnis-para-feminino-olympikus-venus-cor-rosa-claro-adulto-37-br/p/MLB18694038?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB18694038&position=8&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"160,15",Olympikus Delta Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-homem-olympikus-delta-cor-pretopretopreto-adulto-38-br/p/MLB19530916?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19530916&position=9&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"160,15",Olympikus Delta Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-homem-olympikus-delta-cor-pretopretopreto-adulto-41-br/p/MLB19530921?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19530921&position=10&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"278,31",adidas Streetcheck Court Low Feminino Adultos,https://www.mercadolivre.com.br/tnis-feminino-adidas-streetcheck-court-low-cor-cloud-whitecloud-whitecore-black-adulto-38-br/p/MLB19618135?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19618135&position=11&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"159,15",Olympikus Ultraleve 129g Feminino Adultos,https://www.mercadolivre.com.br/tnis-feminino-olympikus-ultraleve-129g-129g-cor-preto-adulto-36-br/p/MLB22286353?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB22286353&position=12&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"57,5",Macacão Com Amarração Feminino Only,https://produto.mercadolivre.com.br/MLB-1939987904-macaco-com-amarraco-feminino-only-_JM#position=41&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"139,13",Kit 3 Bermudas Masculina Moletom Plus Size Preto Basicamente,https://produto.mercadolivre.com.br/MLB-1934361274-kit-3-bermudas-masculina-moletom-plus-size-preto-basicamente-_JM#position=42&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"160,15",Olympikus Delta Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-homem-olympikus-delta-cor-azulpretopreto-adulto-39-br/p/MLB19530953?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19530953&position=13&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"151,14",Olympikus Venus 2 Feminino Adultos,https://www.mercadolivre.com.br/tnis-para-feminino-olympikus-venus-2-cor-azul-adulto-37-br/p/MLB21757036?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB21757036&position=14&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"187,31",Terno Slim Masculino (paleto+calça+colete) Mais Vendido,https://produto.mercadolivre.com.br/MLB-2093386501-terno-slim-masculino-paletocalcacolete-mais-vendido-_JM#position=43&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
